quantity,value,unit
x_trench,0.955316,km
x_moment_max,46.7359,km
x_shear_max,95.893,km
x_outer_rise,154,km
rhohat_centroid_depth_mean_over_window,15.1867,km
rhohat_centroid_depth_min_over_window,9.25563,km
rhohat_centroid_depth_max_over_window,18.6153,km
